Group,Title,System,arXivLink,arXivAbs,InspireLink,DatePublishedArxiv,Journal,N
DQ,Multiplicity dependence of J/$ψ$ production at midrapidity in pp collisions at $\sqrt{s}$ = 13 TeV,pp,http://arxiv.org/abs/2005.11123v2,2005.11123,-,2020-05-22,Submitted,288
LF,Measurement of the low-energy antideuteron inelastic cross section,pPb,http://arxiv.org/abs/2005.11122v3,2005.11122,-,2020-05-22,Submitted,287
LF,Production of light-flavor hadrons in pp collisions at $\sqrt{s}$ = 7 and $\sqrt{s}$ = 13 TeV,pp,http://arxiv.org/abs/2005.11120v2,2005.11120,-,2020-05-22,Submitted,286
DQ,J/$ψ$ production as a function of charged-particle multiplicity in p-Pb collisions at $\sqrt{\textit{s}_{\rm NN}}~=~8.16$ TeV,pPb,http://arxiv.org/abs/2004.12673v2,2004.12673,-,2020-04-27,Submitted,285
CF,Search for a common baryon source in high-multiplicity pp collisions at the LHC,pp,http://arxiv.org/abs/2004.08018v2,2004.08018,-,2020-04-17,Submitted,284
DQ,Measurement of nuclear effects on $ψ\rm{(2S)}$ production in p-Pb collisions at $\sqrt{\textit{s}_{\rm NN}} = 8.16$ TeV,pPb,http://arxiv.org/abs/2003.06053v2,2003.06053,-,2020-03-12,Submitted,283
LF,(Anti-)Deuteron production in pp collisions at $\sqrt{s}=13$ TeV,pp,http://arxiv.org/abs/2003.03184v2,2003.03184,-,2020-03-06,Submitted,282
LF,"Multiplicity dependence of $π$, K, and p production in pp collisions at $\sqrt{s} = 13$ TeV",pp,http://arxiv.org/abs/2003.02394v2,2003.02394,-,2020-03-05,Submitted,281
UD,Coherent photoproduction of $ρ^{0}$ vector mesons in ultra-peripheral Pb-Pb collisions at $\sqrt{s_{\rm NN}} = 5.02$ TeV,PbPb,http://arxiv.org/abs/2002.10897v2,2002.10897,-,2020-02-25,Submitted,280
CF,Higher harmonic non-linear flow modes of charged hadrons in Pb-Pb collisions at $\sqrt{s_{\rm{NN}}}$ = 5.02 TeV,PbPb,http://arxiv.org/abs/2002.00633v2,2002.00633,-,2020-02-03,Submitted,279
CF,Non-linear flow modes of identified particles in Pb-Pb collisions at $\sqrt{s_{\rm{NN}}}$ = 5.02 TeV,PbPb,http://arxiv.org/abs/1912.00740v2,1912.00740,-,2019-12-02,Submitted,278
LF,Evidence of rescattering effect in Pb-Pb collisions at the LHC through production of $\rm{K}^{*}(892)^{0}$ and $φ(1020)$ mesons,PbPb,http://arxiv.org/abs/1910.14419v2,1910.14419,-,2019-10-31,Submitted,277
LF,$\rm{K}^{*}(\rm{892})^{0}$ and $φ(1020)$ production at midrapidity in pp collisions at $\sqrt{s}$ = 8 TeV,pp,http://arxiv.org/abs/1910.14410v2,1910.14410,-,2019-10-31,Submitted,276
CF,Evidence of spin-orbital angular momentum interactions in relativistic heavy-ion collisions,PbPb,http://arxiv.org/abs/1910.14408v2,1910.14408,-,2019-10-31,Submitted,275
CF,Investigation of the p-$Σ^{0}$ interaction via femtoscopy in pp collisions,pp,http://arxiv.org/abs/1910.14407v3,1910.14407,-,2019-10-31,Submitted,274
CF,Probing the effects of strong electromagnetic fields with charge-dependent directed flow in Pb-Pb collisions at the LHC,PbPb,http://arxiv.org/abs/1910.14406v2,1910.14406,-,2019-10-31,Submitted,273
DQ,$Υ$ production in p-Pb collisions at $\sqrt{s_{\rm NN}}$ = 8.16 TeV,pPb,http://arxiv.org/abs/1910.14405v3,1910.14405,-,2019-10-31,Submitted,272
DQ,Centrality and transverse momentum dependence of inclusive J/$ψ$ production at midrapidity in Pb-Pb collisions at $\sqrt{s_{\rm NN}}$ = 5.02 TeV,PbPb,http://arxiv.org/abs/1910.14404v2,1910.14404,-,2019-10-31,Submitted,271
HF,Azimuthal correlations of prompt D mesons with charged particles in pp and p-Pb collisions at $\sqrt{s_{\rm NN}}$ = 5.02 TeV,"pp,pPb",http://arxiv.org/abs/1910.14403v2,1910.14403,-,2019-10-31,Submitted,270
LF,Production of (anti-)$^3$He and (anti-)$^3$H in p-Pb collisions at $\sqrt{s_{\rm{NN}}}$ = 5.02 TeV,pPb,http://arxiv.org/abs/1910.14401v2,1910.14401,-,2019-10-31,Submitted,269
MM,Underlying Event properties in pp collisions at $\sqrt{s}$ = 13 TeV,pp,http://arxiv.org/abs/1910.14400v2,1910.14400,-,2019-10-31,Submitted,268
HF,Measurement of electrons from heavy-flavour hadron decays as a function of multiplicity in p-Pb collisions at $\sqrt{s_{\rm NN}}$ = 5.02 TeV,pPb,http://arxiv.org/abs/1910.14399v2,1910.14399,-,2019-10-31,Submitted,267
JE,Jet-hadron correlations measured relative to the second order event plane in Pb-Pb collisions at $\sqrt{s_{\rm{NN}}}$ = 2.76 TeV,PbPb,http://arxiv.org/abs/1910.14398v2,1910.14398,-,2019-10-31,Submitted,266
LF,Multiplicity dependence of K*(892)$^{0}$ and $φ$(1020) production in pp collisions at $\sqrt{s}$ = 13 TeV,pp,http://arxiv.org/abs/1910.14397v1,1910.14397,-,2019-10-31,Submitted,265
CF,Global baryon number conservation encoded in net-proton fluctuations measured in Pb-Pb collisions at $\sqrt{s_{\rm NN}}$ = 2.76 TeV,PbPb,http://arxiv.org/abs/1910.14396v2,1910.14396,-,2019-10-31,Submitted,264
CF,Longitudinal and azimuthal evolution of two-particle transverse momentum correlations in Pb-Pb collisions at $\sqrt{s_{\rm{NN}}}$ = 2.76 TeV,PbPb,http://arxiv.org/abs/1910.14393v2,1910.14393,-,2019-10-31,Submitted,263
"LF,CF",Measurement of the (anti-)$^{3}$He elliptic flow in Pb-Pb collisions at $\sqrt{s_{\rm{NN}}}$ = 5.02 TeV,PbPb,http://arxiv.org/abs/1910.09718v2,1910.09718,-,2019-10-22,Submitted,262
HF,Measurement of electrons from semileptonic heavy-flavour hadron decays at midrapidity in pp and Pb-Pb collisions at $\sqrt{s_{\rm{NN}}}$ = 5.02 TeV,"pp,PbPb",http://arxiv.org/abs/1910.09110v3,1910.09110,-,2019-10-21,Submitted,261
LF,"Production of charged pions, kaons and (anti-)protons in Pb-Pb and inelastic pp collisions at $\sqrt{s_{\rm{NN}}}$ = 5.02 TeV","pp,PbPb",http://arxiv.org/abs/1910.07678v2,1910.07678,-,2019-10-17,Submitted,260
JE,Measurements of inclusive jet spectra in pp and central Pb-Pb collisions at $\sqrt{s_{\rm{NN}}}$ = 5.02 TeV,"pp,PbPb",http://arxiv.org/abs/1909.09718v2,1909.09718,-,2019-09-20,Submitted,259
DQ,Studies of J/$ψ$ production at forward rapidity in Pb-Pb collisions at $\sqrt{s_{\rm{NN}}}$ = 5.02 TeV,PbPb,http://arxiv.org/abs/1909.03158v3,1909.03158,-,2019-09-07,Submitted,258
CF,Global polarization of $Λ$ and $\overlineΛ$ hyperons in Pb-Pb collisions at the LHC,PbPb,http://arxiv.org/abs/1909.01281v3,1909.01281,-,2019-09-03,Submitted,257
LF,Multiplicity dependence of (multi-)strange hadron production in proton-proton collisions at $\sqrt{s}$ = 13 TeV,pp,http://arxiv.org/abs/1908.01861v2,1908.01861,-,2019-08-05,Submitted,256
LF,$^3_Λ\mathrm{H}$ and $^3_{\barΛ}\mathrm{\bar{H}}$ lifetime measurement in Pb-Pb collisions at $\sqrt{s_{\mathrm{NN}}} = $ 5.02 TeV via two-body decay,PbPb,http://arxiv.org/abs/1907.06906v2,1907.06906,-,2019-07-16,Submitted,255
DQ,Measurement of $Υ(1{\rm S})$ elliptic flow at forward rapidity in Pb-Pb collisions at $\sqrt{s_{\rm{NN}}}=5.02$ TeV,PbPb,http://arxiv.org/abs/1907.03169v3,1907.03169,-,2019-07-06,Submitted,254
HF,"Measurement of prompt D$^0$, D$^+$, D$^{*+}$, and D$^+_s$ production in p-Pb collisions at $\sqrt{s_{\rm{NN}}}$ = 5.02 TeV",pPb,http://arxiv.org/abs/1906.03425v2,1906.03425,-,2019-06-08,Submitted,253
GA,Measurement of the inclusive isolated photon production cross section in pp collisions at $\sqrt{s}$ = 7 TeV,pp,http://arxiv.org/abs/1906.01371v2,1906.01371,-,2019-06-04,Submitted,252
CF,Scattering studies with low-energy kaon-proton femtoscopy in proton-proton collisions at the LHC,pp,http://arxiv.org/abs/1905.13470v2,1905.13470,-,2019-05-31,Submitted,251
DQ,Inclusive J/$ψ$ production at mid-rapidity in pp collisions at $\sqrt{s}$ = 5.02 TeV,pp,http://arxiv.org/abs/1905.07211v2,1905.07211,-,2019-05-17,Submitted,250
CF,Study of the $Λ$-$Λ$ interaction with femtoscopy correlations in pp and p-Pb collisions at the LHC,"pp,pPb",http://arxiv.org/abs/1905.07209v2,1905.07209,-,2019-05-17,Submitted,249
LF,Charged-particle production as a function of multiplicity and transverse spherocity in pp collisions at $\sqrt{s}$ = 5.02 and 13 TeV,pp,http://arxiv.org/abs/1905.07208v2,1905.07208,-,2019-05-17,Submitted,248
HF,Production of muons from heavy-flavour hadron decays in pp collisions at $\sqrt{s}$ = 5.02 TeV,pp,http://arxiv.org/abs/1905.07207v2,1905.07207,-,2019-05-17,Submitted,247
JE,Measurement of charged jet cross section in pp collisions at ${\sqrt{s}=5.02}$ TeV,pp,http://arxiv.org/abs/1905.02536v2,1905.02536,-,2019-05-07,Submitted,246
JE,Exploration of jet substructure using iterative declustering in pp and Pb-Pb collisions at LHC energies,"pp,PbPb",http://arxiv.org/abs/1905.02512v2,1905.02512,-,2019-05-07,Submitted,245
HF,Measurement of the production of charm jets tagged with D$^{0}$ mesons in pp collisions at $\sqrt{s}$= 7 TeV,pp,http://arxiv.org/abs/1905.02510v2,1905.02510,-,2019-05-07,Submitted,244
JE,Measurement of jet radial profiles in Pb$-$Pb collisions at $\sqrt{s_{\rm NN}}$ = 2.76 TeV,PbPb,http://arxiv.org/abs/1904.13118v2,1904.13118,-,2019-04-30,Submitted,243
CF,First observation of an attractive interaction between a proton and a multi-strange baryon,pPb,http://arxiv.org/abs/1904.12198v2,1904.12198,-,2019-04-27,Submitted,242
UD,Coherent J/$ψ$ photoproduction at forward rapidity in ultra-peripheral Pb-Pb collisions at $\sqrt{s_{\rm{NN}}}=5.02$ TeV,PbPb,http://arxiv.org/abs/1904.06272v2,1904.06272,-,2019-04-12,Submitted,241
CF,One-dimensional charged kaon femtoscopy in p-Pb collisions at $\sqrt{s_{\rm NN}}$ = 5.02 TeV,pPb,http://arxiv.org/abs/1903.12310v2,1903.12310,-,2019-03-29,Submitted,240
CF,Measurement of strange baryon-antibaryon interactions with femtoscopic correlations,PbPb,http://arxiv.org/abs/1903.06149v3,1903.06149,-,2019-03-14,Submitted,239
CF,"Investigations of anisotropic flow using multi-particle azimuthal correlations in pp, p-Pb, Xe-Xe, and Pb-Pb collisions at the LHC","pp,pPb,XeXe,PbPb",http://arxiv.org/abs/1903.01790v2,1903.01790,-,2019-03-05,Submitted,238
PP,Calibration of the photon spectrometer PHOS of the ALICE experiment,pp,http://arxiv.org/abs/1902.06145v2,1902.06145,-,2019-02-16,Submitted,237
HF,"Measurement of ${\rm D^0}$, ${\rm D^+}$, ${\rm D^{*+}}$ and ${{\rm D^+}_s}$ production in pp collisions at $\mathbf{\sqrt{\textit s}~=~5.02~TeV}$ with ALICE",pp,http://arxiv.org/abs/1901.07979v2,1901.07979,-,2019-01-23,Submitted,236
CF,Event-shape and multiplicity dependence of freeze-out radii in pp collisions at $\sqrt{\textit s}=7$ TeV,pp,http://arxiv.org/abs/1901.05518v2,1901.05518,-,2019-01-16,Submitted,235
HLT,Real-time data processing in the ALICE High Level Trigger at the LHC,n/a,http://arxiv.org/abs/1812.08036v2,1812.08036,-,2018-12-19,Submitted,234
MM,Charged-particle pseudorapidity density at mid-rapidity in p-Pb collisions at $\sqrt{s_{\rm{NN}}}$ = 8.16 TeV,pPb,http://arxiv.org/abs/1812.01312v2,1812.01312,-,2018-12-04,Submitted,233
DQ,Study of J/$ψ$ azimuthal anisotropy at forward rapidity in Pb-Pb collisions at $\sqrt{{\textit s}_{\rm NN}}$ = 5.02 TeV,PbPb,http://arxiv.org/abs/1811.12727v2,1811.12727,-,2018-11-30,Submitted,232
CF,Jet fragmentation transverse momentum measurements from di-hadron correlations in $\sqrt{s}$ = 7 TeV pp and $\sqrt{s_{\rm{NN}}}$ = 5.02 TeV p-Pb collisions,"pp,pPb",http://arxiv.org/abs/1811.09742v2,1811.09742,-,2018-11-24,Submitted,231
HF,$Λ_\mathrm{c}^+$ production in Pb-Pb collisions at $\sqrt{s_{\rm NN}} = 5.02$ TeV,PbPb,http://arxiv.org/abs/1809.10922v2,1809.10922,-,2018-09-28,Submitted,230
HF,Event-shape engineering for the D-meson elliptic flow in mid-central Pb-Pb collisions at $\sqrt{s_{\rm NN}}$ = 5.02 TeV,PbPb,http://arxiv.org/abs/1809.09371v2,1809.09371,-,2018-09-25,Submitted,229
CF,Measuring K$^0_{\rm S}$K$^{\rm{\pm}}$ interactions using pp collisions at $\sqrt{s}=7$ TeV,pp,http://arxiv.org/abs/1809.07899v2,1809.07899,-,2018-09-21,Submitted,228
UD,Energy dependence of exclusive $J/ψ$ photoproduction off protons in ultra-peripheral p-Pb collisions at $\sqrt{s_{\rm{NN}}}$ = 5.02 TeV,pPb,http://arxiv.org/abs/1809.03235v2,1809.03235,-,2018-09-10,Submitted,227
JE,Charged jet cross section and fragmentation in proton-proton collisions at $\sqrt{s}$ = 7 TeV,pp,http://arxiv.org/abs/1809.03232v1,1809.03232,-,2018-09-10,Submitted,226
LF,Multiplicity dependence of light-flavor hadron production in pp collisions at $\sqrt{s}$ = 7 TeV,pp,http://arxiv.org/abs/1807.11321v2,1807.11321,-,2018-07-30,Submitted,225
JE,"Medium modification of the shape of small-radius jets in central Pb-Pb collisions at $\sqrt{s_{\mathrm {NN}}} = 2.76\,\rm{TeV}$",PbPb,http://arxiv.org/abs/1807.06854v2,1807.06854,-,2018-07-18,Submitted,224
DQ,Measurement of dielectron production in central Pb-Pb collisions at $\sqrt{\textit{s}_{\mathrm{NN}}}$ = 2.76 TeV,PbPb,http://arxiv.org/abs/1807.00923v2,1807.00923,-,2018-07-02,Submitted,223
CF,"p-p, p-$Λ$ and $Λ$-$Λ$ correlations studied via femtoscopy in pp reactions at $\sqrt{s}$ = 7 TeV",pp,http://arxiv.org/abs/1805.12455v3,1805.12455,-,2018-05-31,Submitted,222
LF,Analysis of the apparent nuclear modification in peripheral Pb-Pb collisions at 5.02 TeV,PbPb,http://arxiv.org/abs/1805.05212v2,1805.05212,-,2018-05-14,Submitted,221
MM,Centrality and pseudorapidity dependence of the charged-particle multiplicity density in Xe-Xe collisions at $\sqrt{s_{\rm NN}}$ = 5.44 TeV,XeXe,http://arxiv.org/abs/1805.04432v2,1805.04432,-,2018-05-11,Submitted,220
CF,Two particle differential transverse momentum and number density correlations in p-Pb and Pb-Pb at the LHC,"pPb,PbPb",http://arxiv.org/abs/1805.04422v2,1805.04422,-,2018-05-11,Submitted,219
DQ,Dielectron and heavy-quark production in inelastic and high-multiplicity proton-proton collisions at $\sqrt{s}$ = 13 TeV,pp,http://arxiv.org/abs/1805.04407v2,1805.04407,-,2018-05-11,Submitted,218
GA,Direct photon elliptic flow in Pb-Pb collisions at $\sqrt{s_{\rm NN}}$ = 2.76 TeV,PbPb,http://arxiv.org/abs/1805.04403v2,1805.04403,-,2018-05-11,Submitted,217
LF,Transverse momentum spectra and nuclear modification factors of charged particles in Xe-Xe collisions at $\sqrt{s_{\rm NN}}$ = 5.44 TeV,XeXe,http://arxiv.org/abs/1805.04399v2,1805.04399,-,2018-05-11,Submitted,216
DQ,Dielectron production in proton-proton collisions at $\sqrt{s}$ = 7 TeV,pp,http://arxiv.org/abs/1805.04391v2,1805.04391,-,2018-05-11,Submitted,215
CF,Anisotropic flow of identified particles in Pb-Pb collisions at $\mathbf{\sqrt{{\textit s}_{\rm NN}}}=5.02$ TeV,PbPb,http://arxiv.org/abs/1805.04390v2,1805.04390,-,2018-05-11,Submitted,214
DQ,$Υ$ suppression at forward rapidity in Pb-Pb collisions at $\sqrt{s_{\rm NN}}$ = 5.02 TeV,PbPb,http://arxiv.org/abs/1805.04387v2,1805.04387,-,2018-05-11,Submitted,213
DQ,Inclusive J/$ψ$ production in Xe-Xe collisions at $\sqrt{s_{\rm NN}}$ = 5.44 TeV,XeXe,http://arxiv.org/abs/1805.04383v2,1805.04383,-,2018-05-11,Submitted,212
DQ,Inclusive J/$ψ$ production at forward and backward rapidity in p-Pb collisions at $\sqrt{s_{\rm NN}}$ = 8.16 TeV,pPb,http://arxiv.org/abs/1805.04381v2,1805.04381,-,2018-05-11,Submitted,211
HF,Measurements of low-$p_{\rm T}$ electrons from semileptonic heavy-flavour hadron decays at mid-rapidity in pp and Pb-Pb collisions at $\mathbf{\sqrt{{\it s}_\mathrm{NN}}}$ = 2.76 TeV,"pp,PbPb",http://arxiv.org/abs/1805.04379v2,1805.04379,-,2018-05-11,Submitted,210
DQ,Measurement of the inclusive J/$ψ$ polarization at forward rapidity in pp collisions at $\sqrt{s} = 8$ TeV,pp,http://arxiv.org/abs/1805.04374v2,1805.04374,-,2018-05-11,Submitted,209
HF,Azimuthal anisotropy of heavy-flavour decay electrons in p-Pb collisions at $ \sqrt{s_{\rm NN}}$ = 5.02 TeV,pPb,http://arxiv.org/abs/1805.04367v2,1805.04367,-,2018-05-11,Submitted,208
LF,Production of the $ρ$(770)${^{0}}$ meson in pp and Pb-Pb collisions at $\sqrt{s_{\rm NN}}$ = 2.76 TeV,"pp,PbPb",http://arxiv.org/abs/1805.04365v2,1805.04365,-,2018-05-11,Submitted,207
LF,Suppression of $Λ(1520)$ resonance production in central Pb-Pb collisions at $\sqrt{s_{\rm NN}}$ = 2.76 TeV,PbPb,http://arxiv.org/abs/1805.04361v2,1805.04361,-,2018-05-11,Submitted,206
CF,Anisotropic flow in Xe-Xe collisions at $\mathbf{\sqrt{s_{\rm{NN}}} = 5.44}$ TeV,XeXe,http://arxiv.org/abs/1805.01832v2,1805.01832,-,2018-05-04,Submitted,205
HF,"Measurement of D$^0$, D$^+$, D$^{*+}$ and D$^+_{\rm s}$ production in Pb-Pb collisions at $\mathbf{\sqrt{s_{\rm NN}}}= 5.02$ TeV",PbPb,http://arxiv.org/abs/1804.09083v2,1804.09083,-,2018-04-24,Submitted,204
LF,$φ$ meson production at forward rapidity in Pb-Pb collisions at $\sqrt{s_\mathrm{NN}}=2.76$ TeV,PbPb,http://arxiv.org/abs/1804.08906v2,1804.08906,-,2018-04-24,Submitted,203
CF,Energy dependence and fluctuations of anisotropic flow in Pb-Pb collisions at $\mathbf{\sqrt{{\textit s}_\text{NN}}} = \mathbf{5.02}$ and $\mathbf{2.76}$ TeV,PbPb,http://arxiv.org/abs/1804.02944v2,1804.02944,-,2018-04-09,Submitted,202
CF,Azimuthally-differential pion femtoscopy relative to the third harmonic event plane in Pb-Pb collisions at $\sqrt{\textit{s}_{_{\rm NN}}}$ = 2.76 TeV,PbPb,http://arxiv.org/abs/1803.10594v2,1803.10594,-,2018-03-28,Submitted,201
GA,Direct photon production at low transverse momentum in proton-proton collisions at $\sqrt{s}$ = 2.76 and 8 TeV,pp,http://arxiv.org/abs/1803.09857v2,1803.09857,-,2018-03-27,Submitted,200
GA,Neutral pion and $η$ meson production at mid-rapidity in Pb-Pb collisions at $\sqrt{s_{NN}}$ = 2.76 TeV,PbPb,http://arxiv.org/abs/1803.05490v2,1803.05490,-,2018-03-14,Submitted,199
LF,"Transverse momentum spectra and nuclear modification factors of charged particles in pp, p-Pb and Pb-Pb collisions at the LHC","pp,pPb,PbPb",http://arxiv.org/abs/1802.09145v2,1802.09145,-,2018-02-26,Submitted,198
DQ,Prompt and non-prompt J/$ψ$ production and nuclear modification at mid-rapidity in p-Pb collisions at ${\bf \sqrt{{\it s}_{\text{NN}}}= 5.02}$ TeV,pPb,http://arxiv.org/abs/1802.00765v2,1802.00765,-,2018-02-02,Submitted,197
GA,Neutral pion and $η$ meson production in p-Pb collisions at $\mathbf{\sqrt{s_{\rm NN}}} = 5.02$ TeV,pPb,http://arxiv.org/abs/1801.07051v2,1801.07051,-,2018-01-22,Submitted,196
HF,$Λ_{\rm c}^+$ production in pp collisions at $\sqrt{s} = 7$ TeV and in p-Pb collisions at $\sqrt{s_{\rm NN}} = 5.02$ TeV,"pp,pPb",http://arxiv.org/abs/1712.09581v2,1712.09581,-,2017-12-27,Submitted,195
LF,Relative particle yield fluctuations in Pb-Pb collisions at ${\mathbf{\sqrt{s_{\rm NN}}=2.76}}$ TeV,PbPb,http://arxiv.org/abs/1712.07929v2,1712.07929,-,2017-12-21,Submitted,194
